Heart_rate,Max_volume,Min_volume,Endsys_volume,Enddiast_volume,Max_preassure,Min_preassure,Endsys_preassure,Enddiast_preassure,Stroke_vol,Eject_F,Cardiac_output,Stroke_work,Art_elastance,dPdt_max,dPdt_min,dVdt_max,dVdt_min,PdVdt_max,PdPdt_max,VdPdt_max,VdPdt_min,Tau_w,Tau_g,Max_power,PAMP,Group
387,480.99,272.17,288.94,480.99,119.29,-2.02,111.76,5.42,208.83,43.42,80835.85,18576,0.54,11335,-8999,6718,-7783,-0.68,30.95,446.76,273.55,8.61,13.18,113.24,4.89,Control
392,511.08,274.74,286.3,510.39,123.33,1.6,112.59,5.63,236.34,46.24,92682.42,20867,0.48,11350,-8889,5653,-7408,1.65,31.51,464.73,275.94,9.22,12.83,119.69,4.59,Control
392,510.19,284.92,287.74,505.3,127.89,1.05,115.6,5.3,225.28,44.16,88343.68,19884,0.51,10582,-9751,5526,-9484,3.1,72.76,451.85,288.31,8.89,12.39,104.98,4.11,Control
395,504.04,285.23,291.13,497.26,129.99,0.58,120.62,3.98,218.81,43.41,86373.32,19781,0.55,10692,-10018,5278,-7917,0.81,66.28,453.11,289.87,8.49,12.27,108.85,4.4,Control
392,496,278.64,285.73,446.14,126.37,-2.52,117.44,1.22,217.37,43.82,85241.53,20120,0.54,10582,-10645,6028,-8667,3.07,74.45,445.45,280.33,7.89,11.72,114.75,5.77,Control
392,446.2,266.89,280.77,443.68,120.89,-2.76,112.14,1.54,179.31,40.19,70317.02,19643,0.63,11444,-9657,7093,-7602,-0.99,29.22,442.75,268.39,7.8,12.43,117.12,5.95,Control
390,504.04,271.66,283.03,503.6,121.28,1.54,112.14,5.92,232.38,46.1,90536.04,18824,0.48,11413,-8591,5713,-9484,1.99,27.28,450.91,273.93,9.35,13.62,118.34,4.67,Control
392,510.7,280.02,285.11,509.13,126.36,1.35,113.88,5.6,230.68,45.17,90463.21,20288,0.49,10347,-9689,6724,-10616,1.44,65.91,452.67,282.9,9.06,12.41,106.69,4.12,Control
395,506.11,283.97,288.87,492.11,129.65,1.24,119.21,5.2,222.14,43.89,87687.33,19632,0.54,10707,-10347,5841,-9109,1.43,68.3,449.52,287.05,8.9,11.71,111.61,4.61,Control
395,492.05,278.51,282.02,476.78,129.05,-1.21,117.06,1.03,213.54,43.4,84292.41,19984,0.55,10692,-9971,5338,-9357,7.05,74.76,443.37,281.52,8.12,12.26,110.29,4.85,Control
